STT	Vấn đề	Mô tả nội dung	Điểm cần chốt	Trạng thái	Ngày gửi yêu cầu	Nội dung VNA phản hồi	Nhóm phân hệ	Phân loại
11	Ngưỡng cảnh báo PAX time / lịch PAX	Cần ngưỡng cảnh báo (số phút trước STD) cho PAX time / lịch PAX.	Ngưỡng cảnh báo PAX time / lịch PAX là bao nhiêu phút trước STD?	Mở			PH1	Nghiệp vụ
12	Cơ chế refresh real-time màn Monitoring	Cần xác định cơ chế refresh real-time cho màn Monitoring (WebSocket/SSE/webhook/auto-refresh).	Cơ chế refresh real-time màn Monitoring sẽ dùng WebSocket/SSE/webhook/auto-refresh hay phương án khác?	Mở			PH1	Nghiệp vụ
13	Phase Trigger mapping — cảnh báo theo mốc ACARS	Cần danh sách cảnh báo theo từng mốc ACARS (raise/clear) để TOSS triển khai Phase Trigger.	Phase Trigger mapping (danh sách cảnh báo × mốc ACARS raise/clear) cụ thể như thế nào?	Mở			PH1	Nghiệp vụ
14	Re-Clearance (RCL) — phạm vi và quan hệ EDTO	Trong YCKT FOS có nhắc Re-Clearance (RCL). Đề nghị làm rõ phạm vi nghiệp vụ và quan hệ với EDTO.	Re-Clearance (RCL) có phạm vi nghiệp vụ thế nào và quan hệ với EDTO ra sao?	Mở			PH1	Nghiệp vụ
15	Quy tắc trigger cảnh báo filed ATC	"Cần quy tắc trigger cảnh báo ""đã filed ATC FPL hay chưa"" (thời điểm filed, ngưỡng)."	Quy tắc trigger cảnh báo filed ATC FPL (thời điểm filed, ngưỡng) như thế nào?	Mở			PH1	Nghiệp vụ
16	Phương án UX khi giữ chuyến đường dài chưa đáp ngoài time window	Đối với chuyến đường dài chưa đáp nhưng đã vượt time window mặc định, cần phương án UX (filter phụ / giữ bảng / scroll riêng).	Phương án UX nào áp dụng cho chuyến đường dài chưa đáp ngoài time window (filter phụ / giữ bảng / scroll)?	Mở			PH1	Nghiệp vụ
17	"Ngưỡng phút ""vào gate chậm"" so với ETA"	"Trong Phase 5, cần ngưỡng phút ""vào gate chậm"" so với ETA kết điểm để TOSS phát cảnh báo."	"Ngưỡng phút ""vào gate chậm"" so với ETA kết điểm để cảnh báo là bao nhiêu?"	Mở			PH1	Nghiệp vụ
18	"Chính sách hiển thị Registration (lược ""VN"")"	"Đối với tàu VNA/VNB, có thể lược tiền tố ""VN"" trên màn hình. Đề nghị xác nhận đồng nhất hay cho user cấu hình."	"Hiển thị Registration sẽ đồng nhất lược ""VN"" hay cho phép user cấu hình riêng?"	Mở			PH1	Nghiệp vụ
19	Action shortcut Dispatch Release ↔ clear cảnh báo vàng đa cột	"Khi điều phái thao tác Action shortcut ""Dispatch Release"" trên Monitoring, các cảnh báo vàng đa cột (REG+DR…) được clear. Đề nghị làm rõ cơ chế đồng bộ."	"Cơ chế đồng bộ Action shortcut ""Dispatch Release"" với clear cảnh báo vàng đa cột (REG+DR…) như thế nào?"	Mở			PH1	Nghiệp vụ
20	"Quy tắc clear/giữ ""đỏ"" sau khi chuyến cất cánh"	"Đối với cảnh báo ""vẫn bay dù đỏ/vàng"" (ví dụ thời tiết), sau khi chuyến cất cánh và đáp, giữ nguyên đỏ để ghi nhận ""có đỏ nhưng không action"" hay clear về xanh?"	Sau khi chuyến cất cánh và đáp, có giữ nguyên cảnh báo đỏ để ghi nhận lịch sử hay clear về xanh, áp dụng đồng nhất hay theo từng cột?	Mở			PH1	Nghiệp vụ
21	Nguồn dự phòng parking stand khi thiếu A-CDM	"Buổi 15/06 nhắc nguồn dự phòng parking stand nghe như ""VR"" (cần xác nhận). Đề nghị làm rõ tên nguồn và cơ chế lấy dữ liệu."	"Nguồn dự phòng parking stand khi thiếu A-CDM là gì (có phải ""VR"" hay nguồn khác)?"	Mở			PH1	Nghiệp vụ
22	Cột PIC confirm — ngưỡng nhắc	Cột PIC confirm hiện không quy định cứng thời điểm. Đề nghị xác nhận có cần ngưỡng nhắc/cảnh báo nếu Pilot chưa confirm sát giờ không.	Có ngưỡng nhắc/cảnh báo nào nếu Pilot chưa confirm sát giờ không, và mốc bao nhiêu phút trước STD?	Mở			PH1	Nghiệp vụ
23	Attribution khi bàn giao ca — version OFP	Khi ca sau upload phiên bản OFP mới, cần cơ chế ghi nhận đúng người thực hiện từng version.	Quy tắc attribution version OFP khi bàn giao ca như thế nào (mang tên ai, lưu vết người thực hiện)?	Mở			PH1	Nghiệp vụ
24	Cơ chế ghi nhận lịch sử làm lại OFP sát giờ	Cần cơ chế ghi nhận lịch sử làm lại OFP sát giờ (định danh, version, audit trail).	Cơ chế ghi nhận lịch sử làm lại OFP sát giờ (định danh, version, audit trail) như thế nào?	Mở			PH1	Nghiệp vụ
25	"Cảnh báo tổng quát tab Flight Release ""bên ngoài"""	"Tab Flight Release có cảnh báo tổng quát ""bên ngoài"". Đề nghị làm rõ nội dung cảnh báo và quy tắc hiển thị."	"Nội dung cảnh báo tổng quát tab Flight Release ""bên ngoài"" và quy tắc hiển thị như thế nào?"	Mở			PH1	Nghiệp vụ
26	"Định dạng OFP DSP ""2/0/1 R2"" và OFP Number ""10/1/1"""	"Trên màn Flight Dispatch có định dạng OFP DSP dạng ""2/0/1 R2""; mẫu OFP-RCL có OFP Number ""10/1/1"". Đề nghị diễn giải từng thành phần (số OFP / rev đã release / rev chưa release?)."	"Định dạng OFP DSP ""2/0/1 R2"" và OFP Number Lido ""10/1/1"" có ý nghĩa từng thành phần như thế nào?"	Mở			PH1	Nghiệp vụ
27	Quy tắc màu + ngưỡng cảnh báo các cột Flight Dispatch bỏ trống	"Trong sheet ""Màn hình Flight Dispatch"", các cột DEP, ATC, TO/LD (MTOW/MLDW), Missing Document, Taxi APU để trống ngưỡng. Đề nghị xác nhận ngưỡng riêng từng cột hay dùng chung khung NOTAM (210/270/75/95)."	Quy tắc màu và ngưỡng cảnh báo cho 5 cột (DEP, ATC, TO/LD, Missing Document, Taxi APU) — dùng ngưỡng riêng hay chung khung NOTAM 210/270/75/95?	Mở			PH1	Nghiệp vụ
28	Phân màu EPLD / EST DOW theo mức lệch CLC ↔ OFP	Cần ngưỡng vàng/đỏ cụ thể cho EPLD / EST DOW theo mức lệch CLC ↔ OFP (lệch X% → vàng, Y% → đỏ).	Ngưỡng vàng/đỏ cụ thể cho EPLD / EST DOW theo mức lệch CLC ↔ OFP là bao nhiêu (X% → vàng, Y% → đỏ)?	Mở			PH1	Nghiệp vụ
29	Danh sách 20 filter màn Flight Dispatch	Sheet ghi 20 vị trí filter (Filter 1–20) nhưng chưa nêu trường lọc cụ thể. Đề nghị cung cấp trường lọc tương ứng từng filter.	Trường lọc cụ thể cho từng filter trong 20 filter màn Flight Dispatch là gì?	Mở			PH1	Nghiệp vụ
30	"Logic màu ""Xanh"" cột ETD và Flight Type"	"Sheet ghi logic màu ""Xanh"" xuất hiện ở cả cột ETD và Flight Type (""ATC vs OFP release khớp""). Đề nghị xác nhận có khác/trùng giữa hai cột không."	"Logic màu ""Xanh"" trên cột ETD và cột Flight Type có khác hay trùng nhau không?"	Mở			PH1	Nghiệp vụ
31	Nội dung tooltip hover 19/26 cột Flight Dispatch	Trong sheet, 19/26 cột màn Flight Dispatch còn trống nội dung tooltip hover. Đề nghị cung cấp nội dung từng tooltip.	Nội dung tooltip hover cho 19 cột màn Flight Dispatch còn trống cụ thể là gì?	Mở			PH1	Nghiệp vụ
32	Lịch sử (Details) cho các cột ngoài REG/FLTNO/ETD/Flight Type	Đã có format chung FUNC-275/276 cho lịch sử. Đề nghị xác nhận cột nào ngoài REG/FLTNO/ETD/Flight Type cần lịch sử riêng.	Cột nào ngoài REG/FLTNO/ETD/Flight Type cần lịch sử (Details) riêng?	Mở			PH1	Nghiệp vụ
33	Sáu cột cảnh báo bổ sung TOSS-180 — tách hay gộp	YCKT TOSS-180 đề xuất 6 cột cảnh báo bổ sung (cabin defect, PAX nối chuyến, loadfactor thấp, thiếu phép bay, TAT không đủ, thiếu điện văn). Đề nghị xác nhận tách cột riêng hay gộp vào cột hiện có (ảnh hưởng 26 vs 32 cột).	Sáu cột cảnh báo bổ sung TOSS-180 sẽ tách cột riêng hay gộp vào cột hiện có?	Mở			PH1	Nghiệp vụ
34	Ngưỡng raise cảnh báo TAT / loadfactor / PAX nối chuyến	"Cần ngưỡng raise cảnh báo cụ thể: TAT thiếu (số phút), loadfactor thấp (%), định nghĩa ""PAX nối chuyến cần ưu tiên"" (số chuyến/thời gian nối tối thiểu)."	"Ngưỡng raise cảnh báo TAT thiếu (phút), loadfactor thấp (%), và định nghĩa ""PAX nối chuyến cần ưu tiên"" cụ thể là gì?"	Mở			PH1	Nghiệp vụ
35	Quy tắc cảnh báo cột Pilot AXA	"Cần quy tắc cảnh báo cột Pilot AXA: ngưỡng chênh lệch extra fuel bao nhiêu kích cảnh báo, có theo mốc thời gian không, cảnh báo theo lượng hay chỉ ""đã nhập lý do hay chưa""."	"Cột Pilot AXA cảnh báo theo ngưỡng chênh lệch extra fuel bao nhiêu, có theo mốc thời gian không, và cảnh báo theo lượng hay chỉ ""đã nhập lý do""?"	Mở			PH1	Nghiệp vụ
36	Tập con cảnh báo chặn nút Dispatch Release	"Buổi 18/06 mới chốt 4 nhóm cảnh báo chặn release (tàu, ETD ≤ 30 phút, tổ bay đúng OFP, Pilot Confirm). Đề nghị phân loại toàn bộ cảnh báo theo ""chặn/không chặn""."	"Toàn bộ cảnh báo cần phân loại ""chặn/không chặn nút Dispatch Release"" như thế nào, ngoài 4 nhóm đã chốt?"	Mở			PH1	Nghiệp vụ
37	Đặc tả màn Flight Plan dạng danh sách	Cần đặc tả cột mặc định, cột tùy chọn, bộ lọc của màn Flight Plan dạng danh sách (song song với Monitoring, dùng chung dữ liệu nhưng khác mục đích).	Màn Flight Plan dạng danh sách có cột mặc định, cột tùy chọn và bộ lọc cụ thể nào?	Mở			PH1	Nghiệp vụ
38	Phân mức cảnh báo DAO theo độ lớn lệch	"Cảnh báo DAO theo một mức (""lệch là cảnh báo"") hay nhiều mức?"	"Cảnh báo DAO áp một mức (""lệch là cảnh báo"") hay phân nhiều mức theo độ lớn lệch?"	Mở			PH1	Nghiệp vụ
39	Quy tắc cảnh báo route ATC khi thêm điểm kèm đổi fly level	Khi thêm điểm vào route ATC kèm thay đổi fly level, cảnh báo theo điểm, theo fly level, hay cả hai?	Cảnh báo route ATC khi thêm điểm kèm đổi fly level — theo điểm, theo fly level, hay cả hai?	Mở			PH1	Nghiệp vụ
40	Mô hình hai mức 75/60 và 90/75 áp cho nhóm Tổ bay	"Mô hình hai mức 75/60 phút và 90/75 phút áp cho nhóm Tổ bay — có ngoại lệ cho Crew Download / Crew Change hay không (18/06 nói ""áp dụng chung"" chưa demo case)."	Mô hình hai mức 75/60 và 90/75 áp cho nhóm Tổ bay có ngoại lệ cho Crew Download / Crew Change không?	Mở			PH1	Nghiệp vụ
41	TAF / TAF AMD chưa có trong nguồn weather	BR-119 mới phủ METAR/SPECI; nguồn DIVERSION_REPORT và BCAO đều có TAF/TAF AMD là dữ liệu cốt lõi cho cảnh báo thời tiết trước chuyến. Đề nghị xác nhận có bổ sung TAF/TAF AMD vào nguồn weather không.	TAF / TAF AMD có được bổ sung vào nguồn weather của TOSS không, và quy tắc sử dụng cụ thể?	Mở			PH1	Nghiệp vụ
42	Quy tắc lấy bản tin thời tiết quanh sự kiện Divert	Diversion Report đề cập (a) 3 METAR/SPECI liên tiếp trước ATD và (b) METAR/SPECI cửa sổ −60 phút / +30 phút quanh giờ Divert + highlight 30 phút. Đề nghị xác nhận hai quy tắc cửa sổ này.	Quy tắc lấy METAR/SPECI quanh sự kiện Divert (3 bản tin liên tiếp trước ATD; cửa sổ −60/+30 phút) áp dụng cụ thể như thế nào?	Mở			PH1	Nghiệp vụ
43	M49 Flight Phase B787 — 23 trạng thái pha bay	FUNC-519-04 mới phủ 4 mốc OOOI; 19 trạng thái còn lại của M49 Flight Phase B787 (INIT/SDPO/POES/ESTA/TATO/OFF/TOIC/ICCL/CLER/ERDC/DCAP/APFL/FLRO/ON/ROTI/IN/TISD/RTG/OUT…) chưa có BR/FUNC.	23 trạng thái pha bay M49 B787 (INIT…OUT) có cần đưa vào BR/FUNC PH1 monitoring không, và quy tắc xử lý từng trạng thái?	Mở			PH1	Nghiệp vụ
44	M44 Door Open/Close (B787) trong turnaround	B787 default 620 downlink có FIRST DOOR OPEN (sau hạ cánh) và LAST DOOR CLOSE (trước OUT). Chưa có BR/FUNC nhắc mốc cửa.	M44 Door Open/Close (B787) có cần đưa vào BR/FUNC PH1 turnaround không, và quy tắc raise/clear ra sao?	Mở			PH1	Nghiệp vụ
45	Ngưỡng cảnh báo load factor / FTL / Delta ZFW / VMA / rate-limit API	Cần ngưỡng cảnh báo cụ thể cho load factor thấp, FTL, Delta ZFW, biên an toàn VMA, rate-limit API. (Ngưỡng release/cảnh báo màu OFP quốc nội 210/75/60 và quốc tế 270/90/75 đã chốt 15/06; các ngưỡng còn lại vẫn mở.)	Ngưỡng cảnh báo cụ thể cho load factor thấp, FTL, Delta ZFW, VMA, rate-limit API là bao nhiêu?	Mở			PH1	Nghiệp vụ
46	Chuẩn hóa thuật ngữ take-off weight và trọng lượng ướt	"ASR ghi lệch các thuật ngữ ""loft power"" (take-off weight) và ""phi vết"" (trọng lượng ướt). Đề nghị chuẩn hóa thuật ngữ chính xác và cách tính áp dụng cho tải/cân bằng."	Thuật ngữ chính xác cho take-off weight và trọng lượng ướt là gì, và cách tính cụ thể ra sao?	Mở			PH2	Thuật ngữ/ASR
47	Phân biệt tài liệu khi tải hàng loạt và quy ước đặt tên	Khi tải hàng loạt tài liệu lên hệ thống lưu trữ tập trung, cần quy tắc phân biệt tài liệu theo tên tệp hoặc nội dung.	Quy ước đặt tên tệp và cách phân biệt tài liệu khi tải hàng loạt như thế nào?	Mở			PH2	Nghiệp vụ
48	"Dấu P trong AVG W/C ""P048"" trên OFP"	"Mẫu OFP-RCL có trường ""AVG W/C P048"" — dấu P đứng trước. Đề nghị xác nhận đây có phải quy ước Lido cho ""Positive"" (tailwind) hay nghĩa khác (Pressure/Plus…) và ánh xạ sang quy ước nội bộ TOSS."	"Dấu P trong AVG W/C ""P048"" trên OFP-RCL mang nghĩa gì (Positive/tailwind, Pressure, hay khác)?"	Mở			PH2	Thuật ngữ/ASR
49	Quy tắc bóc tách 3 file OFP (TXT+HTML+PDF) phía MO Plus	MO Plus nhận đồng thời 3 file OFP (TXT+HTML+PDF). Đề nghị làm rõ quy tắc bóc tách nguồn và ưu tiên xử lý.	Quy tắc bóc tách nguồn 3 file OFP (TXT+HTML+PDF) phía MO Plus như thế nào?	Mở			PH2	Nghiệp vụ
50	TOSS sửa OFP — phương án PA1 hay PA2	Có hai phương án sửa OFP: PA1 (form trên TOSS) hoặc PA2 (sửa tay + upload). Đề nghị xác nhận phương án nghiệp vụ.	TOSS sẽ cho phép sửa OFP theo phương án nào: PA1 (form trên TOSS) hay PA2 (sửa tay + upload)?	Mở			PH2	Nghiệp vụ
51	Cấu hình thời gian lưu trữ theo loại tài liệu	Ngoài mức 3 ngày đã chốt cho tài liệu MO Plus, cần cấu hình thời gian lưu trữ riêng cho từng loại tài liệu trong server lưu trữ tập trung.	Thời gian lưu trữ cấu hình theo từng loại tài liệu là bao nhiêu (ngoài 3 ngày của MO Plus)?	Mở			PH2	Nghiệp vụ
52	Quy ước đặt tên file Plotting / Icing chart	"Cần xác nhận chuỗi ""plotting""/""icing"" ở vị trí nào trong tên file và quy ước hoa thường."	Quy ước đặt tên file Plotting / Icing chart (vị trí chuỗi, hoa thường) như thế nào?	Mở			PH2	Nghiệp vụ
53	General Declaration (GD) — Declaration of Health, Disinsecting, chữ ký điện tử PIC	Nguồn GD_VN1237 có Declaration of Health, Disinsecting và chữ ký điện tử PIC trên GD. Đề nghị xác nhận hãng có số hóa GD không, và phạm vi đưa vào scope.	Hãng có số hóa General Declaration (GD) — gồm Declaration of Health, Disinsecting, chữ ký điện tử PIC không, và đưa vào scope dự án TOSS ở mức nào?	Mở			PH2	Nghiệp vụ
54	Loadsheet — các trường W&B chưa có trong BR/FUNC	Loadsheet có các trường: STAB:TRIM (giá trị + UP/DN); SEATROW TRIM (mã hàng ghế cân bằng); UNDERLOAD BEFORE LMC + LMC TOTAL; FUEL DENSITY 0.785 KG/L (quy đổi USG/lít → kg); SI SERVICE WEIGHT ADJUSTMENT (Potable Water, Pantry Code/Effect); lý do LS revision (free text). Đề nghị xác nhận các trường này cần đưa vào BR/FUNC PH2.	Loadsheet có 6 nhóm trường W&B (STAB TRIM, SEATROW TRIM, UNDERLOAD/LMC TOTAL, FUEL DENSITY, SI SERVICE WEIGHT ADJUSTMENT, lý do LS revision) — có cần số hóa và đưa vào BR/FUNC PH2 không?	Mở			PH2	Nghiệp vụ
55	OFP — các trường chưa có BR/FUNC	OFP có các trường chưa số hóa: UNSUITABLE flag cho ENROUTE/DEST ALTN; MIN DIV FUEL (Diversion fuel tối thiểu); breakdown 11 thành phần fuel ICAO; SPECIAL OPS flags (PBN/PBCS/RNAV/RVSM/EDTO/CAT); DISPATCH NOTES + chi phí extra fuel (USD/TON); AIR DIST/GND DIST/AVG W/C/AVG WIND/ISA DEV/MAX SHR; profile FL theo waypoint (step climb); 3 nhóm Alternate (Takeoff/Enroute/Destination); PER COR PENALTY.	OFP có 9 nhóm trường (UNSUITABLE, MIN DIV FUEL, 11 thành phần fuel, SPECIAL OPS, DISPATCH NOTES, AIR/GND DIST + AVG W/C, step climb FL, 3 Alternate groups, PER COR PENALTY) — có cần số hóa và đưa vào BR/FUNC không?	Mở			PH2	Nghiệp vụ
56	Passenger Manifest (PM) — các trường chưa có BR/FUNC	PM có các nhóm trường: Sơ đồ ghế (Seat Map) J/W/Y; VACANT/BLOCKED seats theo sân bay; EXTRA SEAT/DEPORTEE/MEDICAL/DEAF-BLIND/UM/GROUP BOARDING; mã VIP/CIP/PE đầy đủ (CCIP/MM/TKNE); Frequent Flyer Tier VNA (PLA/GLD/SLV/TTN) + SkyTeam tier (ELITE/ELITE PLUS); cờ Codeshare + STATUS code chuyến (AF/AB); mã meal code chuẩn (AVML/VGML/CHML); WCHR/WCHS/WCHC + sub-code (CTCE/CTCM); Battery Lithium List liên kết NOTOC.	Passenger Manifest có 9 nhóm trường (Seat Map, VACANT/BLOCKED, danh sách hành khách đặc biệt, mã VIP, FFP tier, Codeshare, meal code, WCHR sub-code, Battery Lithium) — đưa vào BR/FUNC PH1/PH2 ở mức nào?	Mở			PH2	Nghiệp vụ
57	Định dạng điện LDM/LMC bóc tách trong Loadsheet	"Loadsheet có dòng LDM/LMC dạng ""PAX/13/5/114.JMP/0.CRW/0.PAD/0/0/0.PER/22"" + ""LMC -PQC.113/19/0.0.T2883.2/625.3/1461"" (cargo by compartment). Chưa có quy tắc bóc tách trong BR-202/BR-224/BR-225 (FUNC-191 hiện chỉ ghi ""lấy con số cuối"")."	Quy tắc bóc tách điện LDM/LMC trong Loadsheet (PAX/CRW/PAD/PER + LMC compartment) cụ thể là gì?	Mở			PH2	Nghiệp vụ
58	Cơ chế claim phí khí thải CORSIA / EU ETS	Liên quan đến Flight Type Code, có cơ chế dùng STS/HEAD làm căn cứ miễn trừ/claim phí khí thải. Đề nghị làm rõ quy trình nghiệp vụ và yêu cầu dữ liệu để hệ thống hỗ trợ.	Quy trình claim phí khí thải CORSIA / EU ETS đang vận hành ra sao, và STS/HEAD được dùng làm căn cứ miễn trừ như thế nào?	Mở			PH3	Nghiệp vụ
59	Biểu mẫu FORM D / FORM E nhà chức trách	Trong YCKT đề cập đến FORM D và FORM E là mẫu báo cáo nhà chức trách. Đề nghị cung cấp định dạng mẫu, mục đích sử dụng và quy trình phát hành.	FORM D và FORM E là mẫu báo cáo nào của nhà chức trách, định dạng và quy trình phát hành ra sao?	Mở			PH3	Nghiệp vụ
60	FLIGHT BASE TIME FOR CAAV — giá trị mặc định	YCKT sheet-08 đề cập FLIGHT BASE TIME FOR CAAV (ví dụ mặc định 20:00) làm mốc chốt lịch báo cáo. Đề nghị xác nhận giá trị mặc định và quy tắc chốt lịch.	Giá trị FLIGHT BASE TIME FOR CAAV mặc định là bao nhiêu (ví dụ 20:00 hay khác), và quy tắc chốt lịch áp dụng ra sao?	Mở			PH3	Nghiệp vụ
61	Logic lọc Báo cáo Khai thác Hàng ngày (BCAO)	Bộ phận trực ban kỹ thuật phát BCAO dùng tiêu chí nào để lọc danh sách MEL ảnh hưởng khai thác. Đề nghị sắp xếp buổi khảo sát với bộ phận này.	Bộ phận trực ban kỹ thuật dùng tiêu chí nào để lọc danh sách MEL ảnh hưởng khai thác cho BCAO?	Mở			PH3	Nghiệp vụ
62	MT trong BCAO — định nghĩa và baseline	"BCAO có nhắc các chỉ số ""OTP đi 55.6% giảm so MT81; OTP đến giảm so MT77; OSP đi giảm so MT43; OSP đến giảm so MT46"". Đề nghị làm rõ ""MT"" viết tắt cho gì (Mục Tiêu / Medium Target / Monthly Target) và định nghĩa các giá trị MT81/MT77/MT43/MT46."	MT trong BCAO là viết tắt của gì, và các giá trị MT81/MT77/MT43/MT46 mang ý nghĩa baseline gì (tháng/năm/chỉ tiêu chiến lược)?	Mở			PH3	Thuật ngữ/ASR
63	Danh mục nguyên nhân bất thường trong BCAO	Trước khi số hóa BCAO, cần xác định danh mục nguyên nhân bất thường chuẩn để tham chiếu.	Danh mục nguyên nhân bất thường chuẩn dùng trong BCAO gồm những mã/giá trị nào?	Mở			PH3	Nghiệp vụ
64	Báo cáo sai lệch tải/thời gian (CLC/OFP/LS)	YCKT V3 đề cập báo cáo sai lệch tải/thời gian giữa EST CLC vs thực tế, OFP đầu/cuối vs LS, 3 bên DOW/EPLD. Đề nghị làm rõ yêu cầu cụ thể.	Báo cáo sai lệch tải/thời gian giữa EST CLC, OFP đầu/cuối, LS, và 3 bên DOW/EPLD có yêu cầu cụ thể như thế nào?	Mở			PH3	Nghiệp vụ
65	Bốn nhóm KPI OTP/OSP — công thức và mục tiêu	Cần định nghĩa, công thức chi tiết cho 4 KPI gồm 2 OTP và 2 OSP, tiêu chí mục tiêu 80% áp dụng cho nhóm nào, và ngưỡng cảnh báo cụ thể (OBJ-003).	Bốn KPI OTP/OSP có định nghĩa, công thức, mục tiêu 80% áp dụng cho nhóm nào, và ngưỡng cảnh báo cụ thể ra sao?	Mở			PH3	Nghiệp vụ
66	Luồng tích chọn thủ công khi ANABS không trả mác	Khi nguồn ANABS không trả mác phân loại chuyến đặc biệt, trợ lý trực ban trưởng cần luồng tích chọn thủ công. Đề nghị làm rõ quy trình.	Khi ANABS không trả mác phân loại chuyến đặc biệt, luồng tích chọn thủ công của trợ lý trực ban trưởng như thế nào?	Mở			PH3	Nghiệp vụ
67	Định dạng dữ liệu nhập tay yếu nhân/VIP	Cần định dạng dữ liệu nhập tay cho yếu nhân/VIP (Chủ tịch nước, Chủ tịch Quốc hội, Thủ tướng, Tổng Bí thư…) và cấu trúc dữ liệu lưu trữ.	Định dạng dữ liệu nhập tay cho yếu nhân/VIP và cấu trúc dữ liệu lưu trữ ra sao?	Mở			PH3	Nghiệp vụ
